"What role does mosquito surveillance play in addressing Zika virus?",medical
"Are antibiotics effective in preventing or treating COVID-19?",medical
"How are taeniasis and cysticercosis diagnosed?",medical
"Will the EML antibiotic book be available in different languages?",medical
"Can I get sick with COVID-19 from swimming in the sea, rivers, lakes or swimming pools?",medical
"How do I volunteer for a COVID-19 vaccine trial?",medical
"How many cancer cases every year can be attributed to consumption of processed meat and red meat?",medical
"What is microcephaly?",medical
"What is Ebola virus disease?",medical
"Why should we act now?",medical
"When choosing a radio station on your stereo at home, have you ever wondered what the familiar abbreviations AM and FM stand for?",medical
"What is the appropriate first aid for snakebite?",medical
"What can be done to reduce the risk of acquiring dengue?",medical
"What causes lymphatic filariasis?",medical
"What advocacy work is WHO doing for the initiative?",medical
"While there is enthusiasm amongst some clinicians for the Checklist, there are others who do not see the value of this initiative. Can we still use the Checklist?",medical
"How can ventilation reduce the risk of contracting COVID-19 in airplanes?",medical
"Are SF medical products available on the internet?",medical
"What are the International Health Regulations?",medical
"How will the Task Force support countries to strengthen digital health efforts?",medical
"Can COVID-19 be transmitted at the workplace?",medical
"How does one get infected?",medical
"What are the results from the Phase 3 trials?",medical
"Why not measure financial protection by the number of people covered by health insurance or a public health system per 1000 population?",medical
"How are these two diseases treated?",medical
"What are the symptoms of STH?",medical
"Who should not travel?",medical
"How is it transmitted?",medical
"When and how should a child transition to other foods?",medical
"Data processes and analysis: The information collected from each contact is stored in a secure database. These processes vary from country to country. See question What should be considered for data protection?",medical
"Why is there a phased approached?",medical
"How is it diagnosed?",medical
"Will the EML antibiotic book be regularly updated in the future?",medical
"What is the difference between a pre-review and a critical review?",medical
"How else does gender link with health?",medical
"Why is hand hygiene still low after all the efforts to promote in recent years?",medical
"Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?",medical
"What is the Health Cluster?",medical
"Is it safe to eat meat or animal products, such as eggs, from areas with outbreaks of avian influenza?",medical
"How can the human rights of people with mental health conditions be promoted and protected?",medical
"I run a health facility. What can I do to support women survivors of violence during COVID-19?",medical
"What about using smokeless tobacco, like chewing tobacco?",medical
"How can existing vaccines have an impact?",medical
"What services can be leveraged across both diseases?",medical
"What are the costs associated with lead exposure?",medical
"How are overweight and obesity measured in children?",medical
"What should I do if I think I have been exposed to chlorine?",medical
"How is the attributable burden of disease due to a risk factor calculated?",medical
"How can I protect myself when handling or applying pesticides?",medical
"How many snakebites occur each year, and how many injuries/fatalities result from them?",medical
"What are the signs and symptoms?",medical
"How should I help someone who has been exposed to a chemical weapon?",medical
"What is oxygen therapy?",medical
"Is there commitment in Africa for the introduction of this vaccine?",medical
"Can Ebola be prevented?",medical
"Should we be vegetarians?",medical
"Why had cannabis never been reviewed until now?",medical
"How widespread are foodborne diseases?",medical
"How is the population attributable fraction calculated?",medical
"What emotional impact can a nuclear accident have on children? How can they be assisted?",medical
"Why does the Checklist work?",medical
"I am going on holiday to a country where I think worms are a problem, should I be concerned ?",medical
"What does it aim to achieve?",medical
"Polio is a disease you read about in history books. Does it still exist? Is it curable?",medical
"What does WHO recommend for self-care interventions?",medical
"How do you form a contact tracing workforce?",medical
"Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?",medical
"What is the leading cause of death among 15-19 year old girls?",medical
"Who can give blood, and how often?",medical
"Are there any special precautions I should take after I arrive at my destination?",medical
"What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?",medical
"What are the signs and symptoms of cutaneous and mucocutaneous leishmaniasis?",medical
"Which health care workers can provide medical abortion services?",medical
"Are there rules for radioactivity in foods for international trade?",medical
"What is genomics?",medical
"What is WHO doing now?",medical
"How do you get yellow fever?",medical
"What is the overall goal of the treaty ?",medical
"What chemicals can be used as chemical weapons?",medical
"How do I avoid getting STH?",medical
"How is the parasite transmitted?",medical
"What is GMP?",medical
"Who should be in charge of running the Checklist?",medical
"I want to change my contraceptive method – is this possible?",medical
"In what ways will reducing emissions be beneficial for health?",medical
"What activities is WHO planning to help implement the use of the EML antibiotic book?",medical
"Do these new standards change current estimates of overweight and undernutrition in children?",medical
"What is the treatment against Chagas disease?",medical
"Why is excess mortality the preferred measure?",medical
"Should I use a digital contact tracing app while traveling?",medical
"What should people travelling to Zika-affected areas do?",medical
"What is the current status of Zika vaccine development?",medical
"Where does the disease occur?",medical
"Why does this tool focus on economic cost only?",medical
"What is WHO doing to advance gender equality and to mainstream gender across its work?",medical
"Does the concept of ‘fair pricing’ replace the principle of affordability?",medical
"How is leishmaniasis diagnosed?",medical
"What is a country consultation process and what are countries be consulted on?",medical
"Does stopping a course of antibiotics early lead to antibiotic resistance?",medical
"Why is food affected in areas beyond the evacuation zone?",medical
"Should pregnant and breastfeeding women living with HIV with COVID-19 and their newborns be managed differently?",medical
"Is eating raw meat safer?",medical
"What can people do to be protected from sexual transmission of Zika virus?",medical
"Violence against children: How can it be prevented?",medical
"Could the preservation method influence the risk (e.g. salting, deep-freezing, or irradiation)?",medical
"How will the elimination of lead paint contribute to achievement of the Sustainable Development Goals (SDGs)?",medical
"How is clonorchiasis transmitted?",medical
"Where can I find the estimates for my country / when will these estimates be available?",medical
"What is thiomersal ?",medical
"What is the role of Access antibiotics in the management of infections in primary care?",medical
"What evidence is there that Cannabidiol has value for medical use?",medical
"What is dual-use research of concern?",medical
"What effect does UV have on the skin?",medical
"What are the rights, duties and responsibilities of employers?",medical
"Where is Guinea-worm disease found?",medical
"What is the Model Disability Survey?",medical
"Does WHO recommend hydroxychloroquine to prevent COVID-19?",medical
"What is the difference between Health Impact Assessment and Health Technology Assessment?",medical
"How can plague be treated?",medical
"Should I stop eating meat?",medical
"Can it be treated?",medical
"What do the latest WHO/ILO figures show in relation to long working hours/overtime?",medical
"What is the key to successful implementation of the Checklist?",medical
"What is plague?",medical
"How were these estimates produced?",medical
"Who manages the yellow fever vaccine supply for routine immunization and preventive mass campaign?",medical
"How is lymphatic filariasis diagnosed?",medical
"What should be taken into consideration when setting a physical distance at the workplace?",medical
"Are health care workers at risk from MERS‐CoV?",medical
"What makes the various forms of electromagnetic fields so different?",medical
"Why are health-care workers at greater risk of catching Ebola?",medical
"Who is WHO working with on this initiative?",medical
"Can mothers with Zika infection breastfeed their baby?",medical
"Is the vaccine effective and safe?",medical
"Why is e-/mHealth (digital health) so important for TB prevention and care?",medical
"4. Where can I find examples of successful GCF project proposals?",medical
"Q: What kind of care do preterm babies need?",medical
"What should a person do if she/he has contact with a person who has MERS?",medical
"Are there treatments for COVID-19?",medical
"What are the treatment options?",medical
"Do travellers returning from Japan represent a health risk for others?",medical
"What to do when the patient is not eligible for ablation and colposcopy services are not available?",medical
"What steps are required to ensure that a vaccine is safe and effective?",medical
"Why is raised blood pressure dangerous?",medical
"Then why is smallpox being talked about now?",medical
"As a vaper, am I more likely to be infected or to have more severe symptoms if infected?",medical
