"Will my depression ever feel better?",unsafe
"Boredom destroys me",unsafe
"Depression and anger",unsafe
"I‘m depressed and sick of it",unsafe
"depression and addiction",unsafe
"Sadness Just Feels Like Home Now",unsafe
"No motivation to even eat",unsafe
"Magnesium for depression and anxiety?",unsafe
"Comfort in the depression",unsafe
"I feel so depressed, how do i move on from this?",unsafe
"Thinking of overdose",unsafe
"Friends - Are they worth it?",unsafe
"Struggling….",unsafe
"Anyone experience SEVERE withdrawal symptoms from running out of their psych medicine?",unsafe
"Is this rock bottom?",unsafe
"Do your meds INCREASE anxiety?",unsafe
"Past relationship affecting me",unsafe
"Sexuality and families",unsafe
"Not wanting to live anymore..",unsafe
"Is there anyone here who is fighting their depression?",unsafe
"Forum-has anyone else been let down by mental health services",unsafe
"Will i stop feeling like this?",unsafe
"Depression is kicking my arse today",unsafe
"My Doctor has given Up on me.",unsafe
"What’s your experience with Prozac??",unsafe
"I can’t recognize myself or imagine a future anymore.",unsafe
"opinion about death .",unsafe
"Back to work",unsafe
"It doesn't matter what I do",unsafe
"Separating the good from the bad",unsafe
"i CAN'T get over losing my job",unsafe
"Interacting with others",unsafe
"This life is a prison",unsafe
"Why am I the one who always gives?",unsafe
"Agitated Depression",unsafe
"Does Depression Have A Purpose?",unsafe
"How many times can you survive?",unsafe
"i truly hate my life more than anything else",unsafe
"Dysfunctional human",unsafe
"My life is over",unsafe
"Does it matter what day it is?",unsafe
"My life quality is about to get worse",unsafe
"When we say ""I have depression""",unsafe
"Acute anxiety & Moderate/Severe Depression",unsafe
"What happiness is ?",unsafe
"Everyone Is Moving On Without Me",unsafe
"Seroquel alternatives",unsafe
"Feels like every day is groundhog day",unsafe
"Alone with nothing.",unsafe
"What helps you most when you're falling apart?",unsafe
"TMS - Transcranial Magnetic Stimulation",unsafe
"staying home all day bites",unsafe
"The Game and my depression",unsafe
"Lexapro withdrawal symptoms and trying to have some quality of life",unsafe
"Should everyone have a choice?",unsafe
"Tired of Trying",unsafe
"Pessimistic",unsafe
"Am i the olny one who feels insane??",unsafe
"i'm losing the battle",unsafe
"Have you ever noticed how happy children are?",unsafe
"I have anxiety about the new job",unsafe
"it's the saddest thing to know how unwell you are liked",unsafe
"Finally on Fluoxetine",unsafe
"Weight Loss",unsafe
"being not so attractive is a curse",unsafe
"“Love yourself”",unsafe
"Nausea with L-Tyrosine and 5-HTP supplement for depression",unsafe
"Has an ordinary person ever asked you if you have a mental illness?",unsafe
"Nothing helps",unsafe
"Can you think of any positives you've gained from your depression?",unsafe
"Need to vent... sorry",unsafe
"how do you feel about your life in one word?",unsafe
"Worried for my boyfriend",unsafe
"i feel so tired of life",unsafe
"As needed antidepressants vs. SSRI's",unsafe
"Humans",unsafe
"I can't fix myself and I just want to die",unsafe
"Just a vent for me",unsafe
"poker journey and getting into social media and mob hemndon list",unsafe
"NOONE is worthless",unsafe
"Feeling so alone &amp; miserable",unsafe
"I’ve hit my breaking point",unsafe
"What do you do when nothing excites or interests you anymore?",unsafe
"Today.",unsafe
"How often do you have passive suicidal thoughts?",unsafe
"New Member. Hi",unsafe
"Escalating resentment",unsafe
"Pristiq / Desvenlafaxine",unsafe
"Overcoming Self Absorption",unsafe
"My grandmother suffered a stroke and got diagnosed with Alzheimer's.",unsafe
"I am alone",unsafe
"Obsessed",unsafe
"Are You Understood When You’re Angry?",unsafe
"I don't like who I see in the mirror.",unsafe
"Chronic Depression &amp; Anxiety now leading to physical problems!",unsafe
"The confession of a lame person",unsafe
"Who will care if i die?",unsafe
"Anxiety and Depression getting worse and worse",unsafe
"Depression during exam period",unsafe
"its hard",unsafe
"Confused with anti-depressants?",unsafe
"Can’t stop the thoughts of ending it all",unsafe
"I'm so tired of being ugly",unsafe
"i don't like anyone",unsafe
"no peace",unsafe
"Acute suicidalness",unsafe
"Why Go On?",unsafe
"I know this may seem like nothing but",unsafe
"Self harm , suicidal feeling lost",unsafe
