text,label
"Hello",conversational
"Which day eventually became the official day of Mexican Independence?",conversational
"Do opinions differ on the numbers for that population is considered not a part of the mainstream",conversational
"What year did May of the Thousand Days come out?",conversational
"What are aspirated consonants in the Asian language?",conversational
"Who is often listed amongst the world's worst offenders when it comes to human rights?",conversational
"Automobile transportation is primarily used in what areas of London?",conversational
"What are too technical to sit well in ""history of science"" programs?",conversational
"What group makes up a minority of the privinces population?",conversational
"In what state's supreme court was State v. Santiago not decided?",conversational
"Who ruled the Franks in the 700's?",conversational
"Who was given the grandiose title?",conversational
"Does summertime gets weather hotter than 90 degrees?",conversational
"In what year did the Union Forces capture New Orleans?",conversational
"Outside of employment, what is the other main issue that affirmative action focuses on?",conversational
"Professor Skousen left what position in 1988?",conversational
"How tall are the mountains in New Hampshire?",conversational
"What written tradition was maintained in early literature?",conversational
"Where is the highest point in the British Isles?",conversational
"Which organization has not had corruption in the educator sector?",conversational
"How many new parks have been created in Paris since 1977?",conversational
"Where was dominant theory created?",conversational
"what type of climate does the eastern great plains fall into?",conversational
"What philosophers placed revelation above reason?",conversational
"What is not distinctive about the biretta of a cardinal?",conversational
"Who was ordered by the senate to become commander in the conflict with King Mithridates?",conversational
"What does grey-box testing involve?",conversational
"What type of person embraces all aspirations towards a true or essential identity?",conversational
"Who was not the chief official of the university?",conversational
"What does the Unnecessary and Proper Clause do? ",conversational
"Who erected a number of large stelae in pre-Christian times?",conversational
"What declined after the fall of the Holy Roman Empire?",conversational
"How many jobs in 2008 in Greece were not related to the tourism industry?",conversational
"What does God use Jehovah's Witnesses for?",conversational
"In what year had the previous library been built?",conversational
"What is the national capital of India?",conversational
"What is the name of the travel magazine sold by The Times?",conversational
"What was eventually restored by the TA?",conversational
"Which government awards the Order of the Chrysanthemum?",conversational
"On what did the Vedanta school lessen focus?",conversational
"Which country was administering forced abortions?",conversational
"What treaty put Palermo under Austrian rule in the 17th century?",conversational
"Who is stated as a jack of all trades in service to Fr\u00e9d\u00e9ric?",conversational
"Who carried the castle?",conversational
"In what year didn't Belgrade fall to the Ottomans?",conversational
"What plan did the DoD release in 2005?",conversational
"What is an integral part of the Alpine economy?",conversational
"What material wrinkles easily?",conversational
"How are genes transferred to a plant by scientists?",conversational
"What name did the Anglo-Saxons give their settlement first?",conversational
"What is a Greek royal palace called?",conversational
"What date was the charter regarding Southampton's tax farm signed at Orival?",conversational
"What was Queen's 1984 Christmas song called?",conversational
"What person gave up New Amsterdam to the English?",conversational
"What is the final sequencing goal of sequencing diploid cotton genomes first ?",conversational
"What was the combination of Hauptschulen with Realschulen and Gesamtschulen not called in Berlin?",conversational
"Who was the IBM ceo in November 2008?",conversational
"Where did the Detroit Drive play their home games?",conversational
"Arthropods and cephalopods have brains that come from a pair of what?",conversational
"In what year was the Eton Manor Boys' Club established?",conversational
"What industries is Brasilia trying to encourage?",conversational
"If someone where to recall a wedding they had went to a year before, which type of memory would be used?",conversational
"What group seems to have changed the most through evoulution?",conversational
"Which agreement did Japan sign to join the Galileo project officially?",conversational
"What was filtering the crowd noise when Braun was giving a speech?",conversational
"When did Valencia C.F. win the UEFA Cup?",conversational
"What punishment is a human rights violation per the US state Dept?",conversational
"In which language is the Quran spoken during prayer?",conversational
"Which thriller film did Beyonc\u00e9 star in with Ali Larter?",conversational
"Where is the ACC headquarters?",conversational
"What type of game that the players rank or standing depend on?",conversational
"What types of music did the Swingle Singers implement instrumental emulation for?",conversational
"What are community serving NPOs focused on?",conversational
"In 2010, what percent of Alaska's population live in a city or CDP?",conversational
"What percentage of the black population thought affirmative action should not be abolished?",conversational
"What do French historians commonly call the Age of Enlightenment?",conversational
"Where did NBC correspondant Kelly O'Donnell attend school?",conversational
"Which soda company did not want to sponsor American Idol?",conversational
"In 1982, what is the name of the editor who replaced the previous editor of The Times?",conversational
"Storyboards and what are thought to be comics by all?",conversational
"What is the Skullcap that orthodox men wear known as?",conversational
"What is the name of the college in Cork?",conversational
"Who produced the song ""Roland"" in 1984?",conversational
"What was China's population at the end of the 18th century?",conversational
"When did the Chalukya Empire rule?",conversational
"What year did Positivism end?",conversational
"What is one of the effects of diarrhea?",conversational
"Who was taken to the hospital after the top nine show?",conversational
"What was the hardware manufactured by third parties for Apple's System 7 known as?",conversational
" What is one of the threats that didn't faced them?",conversational
"What policy was established in April 1927?",conversational
"Who might participate in a love triangle story? ",conversational
"What US President negotiated a truce with France to end the undeclared war at sea?",conversational
"In their pursuit of more money and power, corrupt dictators often ignore what?",conversational
"What was the richest of all the dynasties?",conversational
"Where did Yaroslav build his Cathedral?",conversational
"What area does the five points of Calvinism focus on?",conversational
"Who operated under the name ""PAMOC Augmentation Team?""",conversational
"Who appoints a judge?",conversational
"Along with Cyprus, what other major signatory official protested the immunity of others from the prosecution of reservation?",conversational
"Who coined the term prime minister?",conversational
"Which two cities are served by major airlines?",conversational
"What purpose does the CJIS serve?",conversational
"What compression algorithms provide higher compression at the cost of fidelity?",conversational
"What would happen if rubber wasn't produced in Samoa?",conversational
"What finally beat Idol in the ratings during season nine?",conversational
"The principle of maximum effectiveness interprets the language of treaties as having what effect to establish obligations between parties?",conversational
"Which three groups did the early Triassic period consist of?",conversational
"What type of scattering is responsible for the shift in the color of sunlight?",conversational
"For what does Beyonce receive praise?",conversational
"What was recognized as the original home of Oliver music in 2005?",conversational
"What writing was considered a bridge between two other major writings?",conversational
"May was a former member of what music group?",conversational
"Was Athanasius well liked by everyone?",conversational
"What are the constituents of Class 2 transposable elements?",conversational
"When paired with any other allele for the same trait, what do dominant alleles give rise to?",conversational
"What department store wasn't taken over by Nicolas Berggruen in 2010?",conversational
"What wsas the satellite internet growth rate as of 2009?",conversational
"How long were the units in inches of the Mohenjo-daro ruler?",conversational
"Where does the ideology of China's main political parties come from?",conversational
" What congressional declaration gave President Johnson authority to send troops to China?",conversational
"What was the ethnicity of the Kalb tribe?",conversational
"At what cool temperature is a beers flavor reduced?",conversational
"How many Curonians were left behind after many immigrated to West Germany in 1958?",conversational
"Who had the opportunity to regain their former power in the 1200's?",conversational
"What effects the function of signals received by an antenna?",conversational
"What is the biggest employer in Europe?",conversational
"Why was the Royal College of Chemistry founded?",conversational
"In very few cases, the ancestors of hunter-gatherers were what?",conversational
"Adjusted for inflation, how many dollars were awarded to Bell alongside the Volta Prize?",conversational
"When did Alfonso XXII reach Valencia?",conversational
"What was the party a member of before 1923?",conversational
"What year was a Gothic hammerbeam roof stolen on the Archbishop of Canterbury's residence?",conversational
"What genre did the music of Billy Ocean belong to?",conversational
"What was launched in 1956 by the business school at KU?",conversational
"What do Australian citizens need in order to talk about Norfolk Island?",conversational
"What did the Bush administration describe as heroic?",conversational
"Where did Norman Holmes Pearson work after Yale?",conversational
"What is the favorite fruit that is part of Armenian-style barbecue?",conversational
"Eastern Armenian has a two-way distinction between what?",conversational
"What is it called when Iraq was criticized for their military budget to stop a threat?",conversational
"When did Burke leave the Whig party?",conversational
"What do present day Benedictine Order associates do?",conversational
"In what decade was Westinghouse established?",conversational
"Which famous scientist resolved these issues?",conversational
"For what is the Huxley prize awarded?",conversational
"How much of the planet's asphalt is located in Canada?",conversational
"In what type of religion are canon laws applicable?",conversational
"When did classes first begin at Washington University?",conversational
"Why did Shell sell some of its assets in March 2010?",conversational
"What vegetation helped populations expand?",conversational
"What does the desert have to overcome?",conversational
"How did Frederick respond to the Russian occupation of east Prussia?",conversational
"In what case did the supreme court of California, throw away warranties and strictly impose liability for defective products?",conversational
"Who was Ireland's first female president?",conversational
"What started about 3000 years after copper smelting was discovered?",conversational
"By what century had almost all churches begun celebrating Easter according to the Alexandrian Easter?",conversational
"When did Miss America Sharlene Johnson graduate?",conversational
"Into how many groups are Germanic languages usually split?",conversational
"How many subtypes does ST-elevated MI have?",conversational
"In what year was Nigel Winterburn's last game with Arsenal?",conversational
"Traveling which direction in time has never been verified and presents many problems?",conversational
"The Kukuburra suburban railway is located where?",conversational
"Where is the National Museum of Natural History located?",conversational
"What is the oldest way to study migration?",conversational
"What worship system is central to Hinduism?",conversational
"What is the name of the general that lead British regulars to New Haven Harbor?",conversational
"What does the Avicenna Directories exclude?",conversational
"References to whose material can not be found anywhere in the film?",conversational
"When did individuals self-identify as belonging to a particular ethnic group?",conversational
"India refused China's request that the Tibetan exile community be avoided because they said India is what?",conversational
"What did English Wikipedia want to expand in 2011?",conversational
"What did later Romans invest in rather than grave offerings?",conversational
"What group helps German mine cleaners fix homes?",conversational
"What type of drugs can worsen an infection when it attacks the body?",conversational
"Who handled distribution in the other region?",conversational
"What year were the boundaries for the state-run tourism district finally set?",conversational
"What was the receiver in the initial model?",conversational
"Where were universities able to communicate with each other at the fair?",conversational
"What program monitors progress toward improved sanitation?",conversational
"Other than at ""Nanjing 1912"", where else are there a lot of bars?",conversational
"What football team is based in Bern?",conversational
"In what year was Paulton established?",conversational
"Which renewable energies do not acquire their energy from the sun?",conversational
"Where did many Jewish refugees want to move because of the Holocaust?",conversational
"What did the Manchu's make all the men in the city do?",conversational
"What promotion in the USAF is governed by a formal selection process?",conversational
"What concern did Hills raise about police models?",conversational
"Which country held the 1 July 1991 meeting to dissolve the Warsaw Pact?",conversational
"What university was founded in the 18th century?",conversational
"In which publication was cartoon first used to describe gag single-panel illustrations?",conversational
"What organization made their own estimation in 1995 of a drop in traffic deaths by 1.2%?",conversational
"What did the Harmonised Index of Consumer Prices state that price stability had to be maintained at?",conversational
"What type of buildings were took the most effort to build?",conversational
"What is used to make thwon?",conversational
"What did experiments with molecules attempt to detect on the Earths orbit?",conversational
"How many students were disabled in Xinhua?",conversational
"What form was the evidence of ancient cultures discovered in ?",conversational
"In what year did Southampton's fourth cruise terminal open in the western docklands?",conversational
"Who can be assigned a contract to enforce a copyright in some jurisdictions?",conversational
